run,stimuli,category,thisN,thisTrialN,thisRepN,resp_key.keys,resp_key.rt,resp_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,Intro.started,start_task_text.started,start_task.started,intro.stopped,video_phase.started,video_stim.started,video_phase.stopped,resp_phase.started,resp_prompt.started,resp_key.started,resp_phase.stopped,trials.resp_key.keys,fixation_phase.started,fixation.started,fixation_phase.stopped,video_stim.stopped,resp_prompt.stopped,resp_key.stopped,fixation.stopped,trials.resp_key.rt,trials.resp_key.duration,Dyad ID,Subject ID,Participant #,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.006367954993038438,0.018445245994371362,7.493063572997926,7.493063572997926,12.58922985100071,,,,,,,,,,,,,,,,,,,,1,2025-10-02_13h34.54.597,social-animation,,2025.2.0,None,2025-10-02 13h34.54.823027 -0400,
1,../stimuli/FISHING.AVI,nonsocial,0,0,0,None,,,0,0,0,3,13.052789815992583,,,,,,,13.037612479995005,13.052789815992583,32.591880571999354,32.661759187001735,32.6688011919905,32.6688011919905,37.59134163700219,None,37.591399355995236,37.59823938499903,42.59094978499343,,,,,,,,,1,2025-10-02_13h34.54.597,social-animation,,2025.2.0,None,2025-10-02 13h34.54.823027 -0400,
1,../stimuli/DRIFTING-A.AVI,nonsocial,1,1,0,None,,,0,1,1,2,42.682974889990874,,,,,,,42.67654562499956,42.682974889990874,62.12858496198896,62.2023806389916,62.57742495299317,62.57742495299317,67.5612664079963,None,67.56132314699062,67.58790934299759,72.57129849799094,62.20802995200211,67.57119902099657,67.57119902099657,72.65713876399968,,,,,1,2025-10-02_13h34.54.597,social-animation,,2025.2.0,None,2025-10-02 13h34.54.823027 -0400,
2,../stimuli/SURPRISING-B.AVI,social,2,2,0,left,1.3450437299907207,None,0,2,2,8,72.65713876399968,,,,,,,72.64737014699494,72.65713876399968,92.5922776619991,92.67264985399379,92.67839185400226,92.67839185400226,94.02553104500112,left,94.02558021499135,94.0337627830013,99.01799744999153,,,,99.10116851299244,1.3450437299907207,None,,,1,2025-10-02_13h34.54.597,social-animation,,2025.2.0,None,2025-10-02 13h34.54.823027 -0400,
2,../stimuli/SCARING.AVI,social,3,3,0,,,,0,3,3,5,99.10116851299244,,,,,,,99.0950946219964,99.10116851299244,,,,,,,,,,,,,,,,,,,,,,,,,
