runFile,readyMsg,run,stimuli,category,task_run.thisRepN,task_run.thisTrialN,task_run.thisN,task_run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,Intro.started,start_task.started,intro.stopped,video_phase.started,video_stim.started,video_phase.stopped,resp_phase.started,resp_prompt.started,resp_key.started,resp_phase.stopped,resp_key.keys,fixation_phase.started,fixation.started,fixation_phase.stopped,end_run.started,end_run_text.started,end_run_resp.started,end_run.stopped,end_run_resp.keys,end_run_resp.rt,end_run_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
../stimuli/stimuli_order_run1.csv,Run 1,1,../stimuli/COAXING-B.AVI,mental,0,0,0,0,0,0,0,0,15.711964561999594,,0.014334043999951973,0.028871393999907013,0.028871393999907013,15.436896049000097,15.444881151000118,15.711964561999594,35.43978981300006,35.55112313799964,35.55793677299971,35.55793677299971,38.43925854999998,None,38.43958068899974,38.4463141870001,53.437527972999305,,,,,,,,793923,001,2025-08-20_16h52.11.879,hcp_social-animation,2023.2.2,None,2025-08-20 16h52.42.267824 -0400,
../stimuli/stimuli_order_run1.csv,Run 1,1,../stimuli/BILLIARD-A.AVI,random,0,0,0,0,0,1,1,1,53.67747512099959,,,,,,53.4378229670001,53.67747512099959,73.44140106399936,73.56050555399997,73.56623992299956,73.56623992299956,76.44041010899946,None,76.44060187299965,76.45139350999943,91.43830780899953,,,,,,,,793923,001,2025-08-20_16h52.11.879,hcp_social-animation,2023.2.2,None,2025-08-20 16h52.42.267824 -0400,
../stimuli/stimuli_order_run1.csv,Run 1,1,../stimuli/DRIFTING-A.AVI,random,0,0,0,0,0,2,2,2,91.66643281799952,,,,,,91.43870683899968,91.66643281799952,111.43703062899931,111.55814345699946,111.56404201399982,111.56404201399982,114.4475382189994,None,114.44772946699959,114.45296541500011,129.44581520500014,,,,,,,,793923,001,2025-08-20_16h52.11.879,hcp_social-animation,2023.2.2,None,2025-08-20 16h52.42.267824 -0400,
../stimuli/stimuli_order_run1.csv,Run 1,1,../stimuli/FISHING.AVI,random,0,0,0,0,0,3,3,3,129.67181939900001,,,,,,129.4460884529999,129.67181939900001,149.4435558389996,149.56739519999974,149.57307792999927,149.57307792999927,152.44298617099957,None,152.44315338099932,152.4491956539996,167.44130834799944,,,,,,,,793923,001,2025-08-20_16h52.11.879,hcp_social-animation,2023.2.2,None,2025-08-20 16h52.42.267824 -0400,
../stimuli/stimuli_order_run1.csv,Run 1,1,../stimuli/RANDOM MECHANICAL.AVI,mental,0,0,0,0,0,4,4,4,167.66348203500002,,,,,,167.441665628,167.66348203500002,187.43915541299975,187.55819059699934,187.5638276669997,187.5638276669997,190.4390030959994,None,190.43917252499978,190.44536754699948,205.43741751800007,,,,,,,,793923,001,2025-08-20_16h52.11.879,hcp_social-animation,2023.2.2,None,2025-08-20 16h52.42.267824 -0400,
../stimuli/stimuli_order_run2.csv,Run 2,2,../stimuli/SCARING.AVI,mental,0,1,1,1,0,0,0,0,209.98468149099972,,,,,,209.75939929600008,209.98468149099972,229.75800330499987,229.87860062799973,229.8843606219998,229.8843606219998,232.76725120899937,None,232.76746773299965,232.77343578699947,247.765748197,205.4375423779993,205.4442986260001,205.4442986260001,209.7556867429994,space,4.30970257700028,None,793923,001,2025-08-20_16h52.11.879,hcp_social-animation,2023.2.2,None,2025-08-20 16h52.42.267824 -0400,
../stimuli/stimuli_order_run2.csv,Run 2,2,../stimuli/SEDUCING-B.AVI,mental,0,1,1,1,0,1,1,1,248.008397779,,,,,,247.7661329299999,248.008397779,267.76354990899927,267.8962805229994,267.9018636289993,267.9018636289993,270.7634198079995,None,270.7635885189993,270.7695772289999,285.76166501699936,,,,,,,,793923,001,2025-08-20_16h52.11.879,hcp_social-animation,2023.2.2,None,2025-08-20 16h52.42.267824 -0400,
../stimuli/stimuli_order_run2.csv,Run 2,2,../stimuli/STAR-A.AVI,random,0,1,1,1,0,2,2,2,285.99898255900007,,,,,,285.7619597489993,285.99898255900007,305.75955355399947,305.8687395070001,305.874754898,305.874754898,308.7590914019993,None,308.7592594479993,308.76505106700006,323.7572566259996,,,,,,,,793923,001,2025-08-20_16h52.11.879,hcp_social-animation,2023.2.2,None,2025-08-20 16h52.42.267824 -0400,
,,,,,,,,,,,,,323.978810695,,,,,,323.7575656680001,323.978810695,343.7612930709993,343.8791677290001,343.884888693,343.884888693,346.7601837859993,None,346.7604908679996,346.77162793299976,,,,,,,,,,,,,,,,
