runFile,readyMsg,thisN,thisTrialN,thisRepN,run,stimuli,category,task_run.thisRepN,task_run.thisTrialN,task_run.thisN,task_run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,Intro.started,start_task.started,intro.stopped,video_phase.started,video_stim.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.014439840997511055,0.023136022995458916,0.023136022995458916,14.176196729997173,,,pilot,001,2025-09-25_15h04.59.770,hcp_social-animation,,2025.2.0,None,2025-09-25 15h04.59.975345 -0400,
../stimuli/stimuli_order_run1.csv,Run 1,0,0,0,1,../stimuli/COAXING-B.AVI,mental,0,0,0,0,0,0,0,0,14.912697749998188,,,,,,14.895251301997632,14.912697749998188,,,,,,,,,
