Subject ID,Dyad ID,thisRow.t,thisN,stimuli,resp_key.keys,category,trials.resp_key.rt,trials.resp_key.keys,resp_key.rt,notes,frameRate,video_phase.stopped,video_phase.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.resp_key.duration,thisTrialN,thisRepN,resp_phase.stopped,resp_phase.started,resp_key.duration,psychopyVersion,intro.stopped,intro.started,fixation_phase.stopped,fixation_phase.started,expVersion,expStart,expName,date,Participant #,
,,,,,,,,,,,None,,,,,,,,,,,,,2025.2.0,10.266323229006957,0.006209648010553792,,,,2025-10-02 15h16.01.888182 -0400,social-animation,2025-10-02_15h16.01.655,1,
,,10.757969306010637,0,../stimuli/DRIFTING-A.AVI,left,nonsocial,3.6175196660042275,left,3.6175196660042275,,None,30.187367131002247,10.731646947009722,0,0,0,2,None,0,0,33.887688066999544,30.25743761700869,None,2025.2.0,,,38.89635406600428,33.88774277600169,,2025-10-02 15h16.01.888182 -0400,social-animation,2025-10-02_15h16.01.655,1,
,,38.97261137100577,1,../stimuli/TENNIS-A.AVI,right,nonsocial,2.177696452999953,right,2.177696452999953,,None,58.89426218200242,38.96548804100894,1,0,1,9,None,1,0,61.1610271440004,58.96901977500238,None,2025.2.0,,,66.16017873400415,61.16107149400341,,2025-10-02 15h16.01.888182 -0400,social-animation,2025-10-02_15h16.01.655,1,
,,66.22925251899869,2,../stimuli/COAXING-B.AVI,left,social,1.9445562320033787,left,1.9445562320033787,,None,86.16416921600467,66.22213033100707,2,0,2,0,None,2,0,88.19753450099961,86.24289272500027,None,2025.2.0,,,93.19073010300053,88.1975796730112,,2025-10-02 15h16.01.888182 -0400,social-animation,2025-10-02_15h16.01.655,1,
,,93.27365836800891,3,../stimuli/BILLIARD-A.AVI,,nonsocial,,,,,,,93.26617494900711,3,0,3,1,,3,0,,,,,,,,,,,,,,
