Subject ID,Dyad ID,thisRow.t,thisN,stimuli,category,notes,frameRate,thisTrialN,thisRepN,runs,psychopyVersion,intro.stopped,intro.started,file,expVersion,expStart,expName,date,Trials.thisTrialN,Trials.thisRepN,Trials.thisN,Trials.thisIndex,Runs.thisTrialN,Runs.thisRepN,Runs.thisN,Runs.thisIndex,Participant #,
101,101,,,,,,None,,,,2025.2.0,7.87994735702523,0.006396292999852449,,,2025-10-07 11h46.21.456098 -0400,social-animation,2025-10-07_11h46.21.224,,,,,,,,,1,
,,,0,../stimuli/SURPRISING-A.AVI,social,,,0,0,2,,,,../stimuli/run2.csv,,,,,0,0,0,1,0,0,0,1,,
