Subject ID,Dyad ID,thisRow.t,thisN,stimuli,resp_key.keys,category,resp_key.rt,notes,frameRate,Trials.resp_key.rt,Trials.resp_key.keys,video_phase.stopped,video_phase.started,thisTrialN,thisRepN,runs,resp_phase.stopped,resp_phase.started,resp_key.duration,psychopyVersion,intro.stopped,intro.started,fixation_phase.stopped,fixation_phase.started,file,expVersion,expStart,expName,date,Trials.thisTrialN,Trials.thisRepN,Trials.thisN,Trials.thisIndex,Trials.resp_key.duration,Runs.thisTrialN,Runs.thisRepN,Runs.thisN,Runs.thisIndex,Participant #,
,,,,,,,,,None,,,,,,,,,,,2025.2.0,7.8427534099901095,0.006519827991724014,,,,,2025-10-07 11h48.32.196226 -0400,social-animation,2025-10-07_11h48.31.909,,,,,,,,,,1,
,,8.326669669972034,0,../stimuli/TENNIS-A.AVI,right,nonsocial,1.9143024740042165,,None,1.9143024740042165,right,27.848168280994287,8.311373106989777,0,0,2,29.860237025975948,27.92789849397377,None,2025.2.0,,,34.86401878797915,29.860332399985055,../stimuli/run2.csv,,2025-10-07 11h48.32.196226 -0400,social-animation,2025-10-07_11h48.31.909,0,0,0,4,None,0,0,0,1,1,
,,34.95448541198857,1,../stimuli/SURPRISING-A.AVI,left,social,3.3949278100044467,,None,3.3949278100044467,left,54.863471826975,34.94753918598872,1,0,2,58.340499314974295,54.93747803597944,None,2025.2.0,,,63.338807559979614,58.34057040899643,../stimuli/run2.csv,,2025-10-07 11h48.32.196226 -0400,social-animation,2025-10-07_11h48.31.909,1,0,1,1,None,0,0,0,1,1,
,,63.41807783299009,2,../stimuli/SharingIcecream.AVI,left,social,2.3045497169950977,,None,2.3045497169950977,left,83.3430416789779,63.41127476398833,2,0,2,85.72689486999298,83.41037596398382,None,2025.2.0,,,90.71907098297379,85.7269859869848,../stimuli/run2.csv,,2025-10-07 11h48.32.196226 -0400,social-animation,2025-10-07_11h48.31.909,2,0,2,0,None,0,0,0,1,1,
,,90.80507155199302,3,../stimuli/STAR-A.AVI,,nonsocial,,,,,,,90.79890341698774,3,0,,,,,,,,,,,,,,,3,0,3,2,,,,,,,
